Item,Unit Price,Details
Pencil,2.99,Sharp standard pencils
Binder,4.99,Yellow strong binder
Pen,8.99,Blue ink pen
Desk,125.00,Wooden single desk
Pen Set,15.99,Set of 3 blue ink pens
Notebook,5.49,200-page lined notebook
Eraser,1.29,Non-smudge vinyl eraser
Highlighter,3.49,Yellow chisel tip highlighter
Marker,4.49,Permanent black marker
Stapler,12.99,Full-strip desktop stapler
Staples,2.49,Box of 5000 standard staples
Paper Clips,1.99,Pack of 200 assorted sizes
Push Pins,2.79,Clear push pins pack of 100
Scissors,7.99,8-inch stainless steel scissors
Tape Dispenser,9.99,Weighted desk tape dispenser
Transparent Tape,3.29,3/4-inch x 1000-inch roll
Masking Tape,4.59,1-inch general purpose masking tape
Glue Stick,1.49,Washable glue stick 21g
Ruler,2.49,12-inch clear plastic ruler
Protractor,2.19,180-degree classroom protractor
Calculator,14.99,8-digit basic calculator
Sticky Notes,3.99,3x3 inch pack of 12 pads
Index Cards,2.99,3x5 inch ruled 100 count
File Folders,6.49,Letter-size manila pack of 50
Envelopes,5.99,#10 white security 100 pack
